,city,total_absences,percent_missed
611,White Cloud,9,19.1489361702128
612,Kansas City,19,43.1818181818182
613,Topeka,6,22.2222222222222
614,White Cloud,11,23.4042553191489
615,Topeka,18,38.2978723404255
616,Topeka,5,10.6382978723404
617,Topeka,10,21.2765957446808
618,Edgerton,16,34.0425531914894
619,Topeka,10,22.2222222222222
620,Topeka,14,29.7872340425532
621,Kansas City,5,10.6382978723404
622,Overland Park,8,17.0212765957447
623,Kansas City,7,14.8936170212766
624,Scranton,9,19.1489361702128
625,Topeka,5,10.6382978723404
626,Buffalo,5,10.6382978723404
627,Overland Park,7,18.9189189189189
628,Topeka,14,29.7872340425532
629,Kansas City,20,42.5531914893617
630,Topeka,22,46.8085106382979
631,Kansas City,15,31.9148936170213
632,Topeka,6,12.7659574468085
633,Topeka,13,27.6595744680851
634,Topeka,12,25.531914893617
635,Topeka,10,21.2765957446808
636,Neosho Falls,10,21.2765957446808
637,Kansas City,9,19.1489361702128
638,Topeka,5,10.6382978723404
639,Kansas City,6,12.7659574468085
640,Overland Park,8,18.1818181818182
641,Topeka,11,23.4042553191489
642,Topeka,7,14.8936170212766
643,Topeka,8,17.0212765957447
644,Topeka,12,25.531914893617
645,Topeka,5,10.6382978723404
646,Topeka,5,10.6382978723404
647,Overland Park,6,12.7659574468085
648,Topeka,10,21.2765957446808
649,Mulberry,19,43.1818181818182
650,Saint George,6,12.7659574468085
651,Overland Park,5,10.6382978723404
652,Kansas City,6,12.7659574468085
653,Topeka,12,25.531914893617
654,Overland Park,9,19.5652173913043
655,Topeka,17,36.1702127659575
656,Topeka,14,29.7872340425532
657,Topeka,14,29.7872340425532
658,Kansas City,6,12.7659574468085
659,Topeka,5,11.1111111111111
660,Overland Park,5,10.6382978723404
661,Topeka,6,12.7659574468085
662,Topeka,5,10.6382978723404
663,Topeka,8,17.0212765957447
664,Topeka,6,12.7659574468085
665,Topeka,12,25.531914893617
666,Topeka,11,23.4042553191489
667,Topeka,14,29.7872340425532
668,Topeka,9,19.1489361702128
669,Topeka,10,21.2765957446808
670,Topeka,5,10.6382978723404
671,Topeka,5,10.8695652173913
672,Kansas City,5,10.6382978723404
673,Topeka,5,10.6382978723404
674,White Cloud,6,12.7659574468085
675,Topeka,5,10.6382978723404
676,Topeka,6,12.7659574468085
677,Topeka,20,42.5531914893617
678,Kansas City,5,10.6382978723404
679,Topeka,18,38.2978723404255
680,Topeka,5,10.6382978723404
681,Topeka,5,10.6382978723404
682,Topeka,19,40.4255319148936
683,Lenexa,9,26.4705882352941
684,Topeka,9,19.1489361702128
685,Topeka,3,12.5
686,Topeka,8,17.0212765957447
687,Topeka,6,12.7659574468085
688,Cummings,5,10.6382978723404
689,Topeka,7,14.8936170212766
690,Overland Park,5,10.6382978723404
691,Topeka,10,21.2765957446808
692,Topeka,10,21.2765957446808
693,Kansas City,16,34.0425531914894
694,Topeka,5,10.6382978723404
695,Overland Park,6,12.7659574468085
696,Topeka,5,10.6382978723404
697,White Cloud,14,29.7872340425532
698,Overland Park,6,12.7659574468085
699,Topeka,8,17.0212765957447
700,Topeka,8,17.0212765957447
701,Topeka,7,14.8936170212766
702,Williamsburg,14,29.7872340425532
703,Topeka,6,12.7659574468085
704,Overland Park,7,14.8936170212766
705,Topeka,7,14.8936170212766
706,Topeka,21,44.6808510638298
707,Overland Park,9,19.1489361702128
708,Topeka,8,17.0212765957447
709,Topeka,5,10.8695652173913
710,Topeka,15,31.9148936170213
711,Topeka,5,10.6382978723404
712,Topeka,10,21.2765957446808
713,Paola,7,14.8936170212766
714,Topeka,5,10.6382978723404
715,Overland Park,7,14.8936170212766
716,Topeka,5,10.6382978723404
717,Topeka,5,10.6382978723404
718,Topeka,13,27.6595744680851
719,Topeka,5,10.6382978723404
720,Topeka,9,23.0769230769231
721,Kansas City,11,23.4042553191489
722,Beattie,6,12.7659574468085
723,Parker,22,46.8085106382979
724,Overland Park,21,48.8372093023256
725,Topeka,11,23.4042553191489
726,Topeka,7,14.8936170212766
727,Topeka,5,10.6382978723404
728,Potter,13,28.2608695652174
729,Topeka,12,25.531914893617
730,Topeka,6,12.7659574468085
731,White Cloud,13,30.2325581395349
732,Topeka,5,10.6382978723404
733,Topeka,13,27.6595744680851
734,Topeka,16,34.0425531914894
735,Topeka,9,28.125
736,Topeka,12,25.531914893617
737,Topeka,6,12.7659574468085
738,Topeka,9,19.1489361702128
739,Kansas City,6,12.7659574468085
740,Topeka,12,46.1538461538462
741,Kansas City,5,11.3636363636364
742,Uniontown,7,14.8936170212766
743,Overland Park,6,12.7659574468085
744,Topeka,5,10.6382978723404
745,Topeka,14,29.7872340425532
746,Olathe,11,23.4042553191489
747,Topeka,5,10.6382978723404
748,Topeka,15,31.9148936170213
749,Topeka,11,37.9310344827586
750,Topeka,15,36.5853658536585
751,Overland Park,5,10.6382978723404
752,Topeka,8,17.0212765957447
753,Kansas City,6,13.3333333333333
754,Topeka,7,14.8936170212766
755,Kansas City,10,21.2765957446808
756,Topeka,20,42.5531914893617
757,Topeka,14,29.7872340425532
758,Overland Park,6,12.7659574468085
759,Topeka,16,34.0425531914894
760,Topeka,8,17.0212765957447
761,Topeka,7,14.8936170212766
762,Topeka,5,10.6382978723404
763,Topeka,8,17.0212765957447
764,Topeka,5,10.6382978723404
765,Topeka,7,15.9090909090909
766,Topeka,13,27.6595744680851
767,Topeka,7,14.8936170212766
768,Topeka,13,27.6595744680851
769,Topeka,6,12.7659574468085
770,Topeka,11,40.7407407407407
771,Topeka,14,29.7872340425532
772,Topeka,7,14.8936170212766
773,Kansas City,7,14.8936170212766
774,Topeka,14,29.7872340425532
775,Olathe,6,13.0434782608696
776,Corning,16,34.0425531914894
777,Topeka,16,34.0425531914894
778,Topeka,17,36.1702127659575
779,Topeka,5,10.6382978723404
780,Overland Park,5,10.6382978723404
781,Topeka,13,27.6595744680851
782,Topeka,4,10.2564102564103
783,Topeka,23,48.936170212766
784,Overland Park,8,17.0212765957447
785,Fostoria,5,10.6382978723404
786,Topeka,13,27.6595744680851
787,Kansas City,19,40.4255319148936
788,Topeka,10,21.2765957446808
789,Topeka,23,48.936170212766
790,Topeka,7,14.8936170212766
791,Kansas City,6,12.7659574468085
792,Topeka,11,23.4042553191489
793,Topeka,11,23.4042553191489
794,Topeka,21,44.6808510638298
795,Topeka,7,14.8936170212766
796,Topeka,12,27.2727272727273
797,Arma,6,12.7659574468085
798,Kansas City,18,38.2978723404255
799,Topeka,5,10.6382978723404
800,Topeka,13,27.6595744680851
801,Effingham,8,17.0212765957447
802,Topeka,21,44.6808510638298
803,Topeka,7,14.8936170212766
804,Bendena,15,31.9148936170213
805,Kansas City,8,17.0212765957447
806,Topeka,18,38.2978723404255
807,Topeka,6,12.7659574468085
808,Topeka,18,42.8571428571429
809,Topeka,17,36.1702127659575
810,Topeka,11,23.4042553191489
811,Iola,20,42.5531914893617
812,Topeka,18,38.2978723404255
813,Overland Park,6,12.7659574468085
814,Topeka,5,10.6382978723404
815,Topeka,8,17.0212765957447
816,Topeka,6,20
817,White Cloud,12,25.531914893617
818,Topeka,7,14.8936170212766
